"Month Year","Homicide (Murder)","Other Homicide","Attempted Murder","Conspiracy to Murder","Manslaughter (excl. by driving)","Driving Causing Death","Manslaughter Unlawful Striking Causing Death","Assault","Grievous Assault","Serious Assault","Serious Assault (Other)","Common Assault'","Sexual Offences","Rape and Attempted Rape","Other Sexual Offences","Robbery","Armed Robbery","Unarmed Robbery","Other Offences Against the Person","Kidnapping & Abduction etc.","Extortion","Stalking","Life Endangering Acts","Offences Against the Person","Unlawful Entry","Unlawful Entry With Intent - Dwelling","Unlawful Entry Without Violence - Dwelling","Unlawful Entry With Violence - Dwelling","Unlawful Entry With Intent - Shop","Unlawful Entry With Intent - Other","Arson","Other Property Damage","Unlawful Use of Motor Vehicle","Other Theft (excl. Unlawful Entry)","Stealing from Dwellings","Shop Stealing","Vehicles (steal from/enter with intent)","Other Stealing","Fraud","Fraud by Computer","Fraud by Cheque","Fraud by Credit Card","Identity Fraud","Other Fraud","Handling Stolen Goods","Possess Property Suspected Stolen","Receiving Stolen Property","Possess etc. Tainted Property","Other Handling Stolen Goods","Offences Against Property","Drug Offences","Trafficking Drugs","Possess Drugs","Produce Drugs","Sell Supply Drugs","Other Drug Offences","Prostitution Offences","Found in Places Used for Purpose of Prostitution Offences","Have Interest in Premises Used for Prostitution Offences","Knowingly Participate in Provision Prostitution Offences","Public Soliciting","Procuring Prostitution","Permit Minor to be at a Place Used for Prostitution Offences","Advertising Prostitution","Other Prostitution Offences","Liquor (excl. Drunkenness)","Gaming Racing & Betting Offences","Breach Domestic Violence Protection Order","Trespassing and Vagrancy","Weapons Act Offences","Unlawful Possess Concealable Firearm","Unlawful Possess Firearm - Other","Bomb Possess and/or use of","Possess and/or use other weapons; restricted items","Weapons Act Offences - Other","Good Order Offences","Disobey Move-on Direction","Resist Incite Hinder Obstruct Police","Fare Evasion","Public Nuisance","Stock Related Offences","Traffic and Related Offences","Dangerous Operation of a Vehicle","Drink Driving","Disqualified Driving","Interfere with Mechanism of Motor Vehicle","Miscellaneous Offences","Other Offences"
AUG12,4,9,4,0,0,5,0,1608,57,693,210,648,405,97,308,141,81,60,345,27,6,62,250,2512,3455,2099,2051,48,257,1099,119,3629,963,8050,656,1343,2299,3752,1243,109,19,471,24,620,466,160,46,255,5,17925,5196,171,2278,145,253,2349,7,0,0,5,0,0,0,1,1,544,0,994,327,413,15,61,7,268,62,4262,92,1734,256,2180,51,3654,140,2171,1342,1,235,15683
SEP12,5,6,3,0,0,3,0,1623,69,743,223,588,512,120,392,163,86,77,285,12,4,39,230,2594,3469,2095,2045,50,297,1077,133,3321,919,8127,690,1292,2229,3916,1188,90,10,335,21,732,385,139,32,206,8,17542,4245,18,2004,92,151,1980,1,0,0,1,0,0,0,0,0,541,0,1033,343,304,6,41,2,215,40,4249,90,1733,213,2213,15,3392,155,2159,1076,2,259,14382
OCT12,3,7,5,0,0,2,0,1691,68,780,241,602,441,126,315,203,124,79,338,24,3,80,231,2683,4284,2600,2546,54,342,1342,149,4641,1078,9168,798,1331,2551,4488,1717,110,28,556,26,997,396,109,35,245,7,21433,5321,126,2057,156,774,2208,7,0,0,5,0,0,0,0,2,410,0,1146,363,447,16,80,3,275,73,4412,79,1898,223,2212,13,3353,163,2084,1103,3,229,15701
NOV12,4,12,7,0,0,5,0,1840,70,844,213,713,457,98,359,171,82,89,315,18,6,67,224,2799,3951,2579,2523,56,282,1090,147,3469,1166,9459,834,1490,2511,4624,2506,36,27,492,55,1896,491,144,45,290,12,21189,5004,40,2129,144,590,2101,15,0,2,11,0,0,0,1,1,612,0,1099,345,381,8,66,3,261,43,4658,106,1902,225,2425,19,3617,160,2281,1173,3,289,16039
DEC12,8,9,7,0,0,2,0,1808,93,841,237,637,385,115,270,166,103,63,349,34,9,46,260,2725,3899,2527,2469,58,281,1091,124,3599,1087,8998,803,1408,2284,4503,1721,72,49,761,39,800,425,159,30,233,3,19853,4586,27,2057,129,210,2163,11,0,0,3,2,0,0,0,6,803,0,1279,397,368,15,46,0,274,33,5123,112,2057,226,2728,37,3936,181,2547,1207,1,200,16740
JAN13,4,5,0,1,0,4,0,1599,92,717,216,574,406,112,294,141,90,51,318,27,6,33,252,2473,3939,2411,2359,52,333,1195,128,3509,1100,9347,855,1404,2583,4505,1614,155,33,479,28,919,439,175,36,219,9,20076,4138,26,1860,152,210,1890,6,0,0,5,0,0,0,0,1,546,0,1242,375,338,13,41,3,241,40,4488,99,1811,274,2304,27,3291,115,2127,1047,2,197,14648
FEB13,4,5,2,0,1,2,0,1598,55,749,225,569,386,104,282,153,82,71,250,23,6,43,178,2396,3760,2432,2389,43,271,1057,105,2992,1099,8402,735,1315,2314,4038,1704,124,21,810,46,703,390,137,26,218,9,18452,3864,33,1706,139,170,1816,13,3,2,6,1,0,0,0,1,481,0,979,287,318,11,36,0,239,32,3875,86,1597,226,1966,52,2920,133,1849,937,1,206,12995
MAR13,1,11,8,0,2,1,0,1746,80,826,228,612,506,130,376,175,79,96,325,22,6,44,253,2764,4157,2761,2717,44,264,1132,122,3163,1156,8666,737,1334,2623,3972,1726,171,36,444,33,1042,430,137,34,249,10,19420,4437,20,1938,125,311,2043,13,0,0,10,1,0,0,1,1,566,0,1119,368,339,5,40,9,236,49,4366,102,1800,220,2244,48,3568,166,2336,1060,6,327,15151
APR13,6,4,3,0,0,1,0,1417,71,609,231,506,391,77,314,130,71,59,281,16,8,38,219,2229,3653,2364,2314,50,225,1064,110,3275,1029,8396,721,1368,2414,3893,1328,59,16,478,39,736,373,137,43,186,7,18164,4052,34,1787,132,149,1950,8,1,2,3,0,0,0,0,2,533,0,935,392,331,7,27,4,159,134,3973,96,1663,257,1957,16,3259,141,2193,918,7,221,13720
MAY13,5,9,5,0,0,4,0,1499,75,658,243,523,515,138,377,142,71,71,239,23,2,47,167,2409,3615,2301,2264,37,250,1064,114,3057,990,8744,721,1441,2651,3931,2035,75,44,793,64,1059,494,200,58,227,9,19049,5266,44,2259,155,331,2477,12,0,1,8,1,0,0,0,2,604,0,1040,378,374,14,49,3,172,136,4164,101,1739,286,2038,24,3100,141,2024,933,2,245,15207
JUN13,1,10,4,1,4,1,0,1470,63,608,271,528,380,114,266,170,86,84,257,21,4,42,190,2288,3536,2243,2203,40,265,1028,105,2858,1031,8381,663,1403,2656,3659,1698,58,27,506,31,1076,408,175,35,191,7,18017,4173,19,1894,115,155,1990,9,2,1,4,0,0,1,0,1,581,0,986,384,346,11,49,1,135,150,4312,103,1758,301,2150,27,3077,154,2018,898,7,274,14169
JUL13,4,5,2,0,1,2,0,1452,82,584,242,544,419,97,322,147,75,72,244,21,6,43,174,2271,3522,2044,2010,34,320,1158,99,3475,1000,8682,622,1275,2656,4129,1782,120,34,739,88,801,530,172,82,274,2,19090,5505,30,2448,156,249,2622,10,0,0,8,0,0,0,1,1,770,0,1046,354,465,13,74,4,149,225,4273,86,1848,250,2089,87,3737,153,2212,1368,4,317,16564
AUG13,5,5,4,0,0,1,0,1557,74,676,258,549,461,140,321,157,99,58,260,17,8,46,189,2445,3046,1924,1890,34,184,938,110,3330,900,8113,636,1185,2351,3941,1325,65,16,454,37,753,481,156,57,266,2,17305,6074,43,2727,186,198,2920,7,1,0,3,0,0,0,0,3,711,0,1133,360,364,13,44,2,149,156,4973,87,2126,318,2442,31,4076,165,2481,1430,0,300,18029
SEP13,3,10,8,0,0,2,0,1536,82,647,281,526,486,95,391,174,102,72,293,36,7,55,195,2502,2890,1889,1843,46,167,834,90,3138,839,7788,681,1172,2130,3805,1499,63,29,503,37,867,398,153,55,187,3,16642,5073,35,2238,153,271,2376,8,0,0,4,3,0,0,0,1,614,0,1102,425,365,7,40,1,174,143,4553,112,1807,342,2292,25,3751,166,2321,1263,1,323,16239
OCT13,0,5,3,0,0,2,0,1575,64,659,327,525,507,150,357,120,72,48,319,29,12,62,216,2526,3036,2004,1955,49,173,859,96,3097,820,8270,789,1339,2013,4129,1429,72,32,585,78,662,395,151,56,184,4,17143,5760,46,2549,211,290,2664,11,0,0,4,0,3,0,0,4,632,0,1220,385,459,15,56,0,199,189,4788,78,1992,317,2401,43,3595,161,2161,1272,1,356,17249
NOV13,3,4,2,1,0,1,0,1658,74,771,246,567,461,130,331,123,75,48,298,14,14,78,192,2547,3043,2015,1979,36,185,843,109,3076,850,8145,757,1409,2050,3929,1347,69,37,604,34,603,408,152,42,210,4,16978,5358,28,2385,182,219,2544,14,0,2,6,2,3,0,0,1,674,0,1254,337,440,15,71,3,150,201,5182,118,1981,420,2663,54,3585,127,2247,1209,2,331,17229
DEC13,4,9,7,0,0,2,0,1635,90,766,214,565,410,119,291,130,73,57,261,30,12,50,169,2449,3033,1996,1960,36,181,856,112,3036,823,8333,804,1471,2150,3908,1332,114,37,531,31,619,462,196,47,209,10,17131,5358,15,2443,145,192,2563,6,0,0,2,1,0,0,0,3,708,0,1393,362,426,20,63,1,174,168,5281,123,2236,337,2585,33,3835,148,2412,1272,3,215,17617
JAN14,2,10,4,1,1,4,0,1550,79,736,221,514,438,150,288,144,77,67,269,20,10,54,185,2413,3248,2030,1983,47,233,985,114,3277,898,8685,842,1395,2255,4193,1468,91,31,600,37,709,410,176,39,185,10,18100,5086,25,2218,159,229,2455,9,0,0,4,2,0,0,2,1,621,0,1345,360,394,11,61,1,151,170,5384,118,2328,330,2608,35,3538,177,2182,1178,1,233,17005
FEB14,6,9,6,0,1,2,0,1499,67,727,196,509,436,114,322,131,82,49,242,15,7,58,162,2323,2878,1827,1789,38,172,879,100,2774,833,7952,697,1313,2124,3818,1565,88,16,734,43,684,365,131,39,188,7,16467,4886,11,2147,168,165,2395,7,0,0,4,0,1,0,0,2,504,0,1170,361,374,7,56,0,132,179,4250,86,1841,330,1993,50,3067,162,1955,949,1,284,14953
MAR14,5,14,10,0,1,3,0,1675,82,748,234,611,487,109,378,109,53,56,314,29,16,67,202,2604,3321,2143,2081,62,158,1020,102,2970,914,8917,824,1501,2288,4304,1644,90,19,612,45,878,459,191,29,234,5,18327,5323,34,2372,181,220,2516,4,0,0,2,0,0,0,0,2,563,0,1311,485,468,11,65,1,169,222,4960,120,2006,362,2472,80,3484,180,2367,935,2,390,17068
APR14,4,4,2,0,1,1,0,1365,76,647,192,450,422,119,303,140,61,79,211,16,7,56,132,2146,3167,2077,2035,42,245,845,93,2799,839,7921,662,1295,2172,3792,1384,70,23,719,30,542,340,129,41,165,5,16543,4853,36,2145,136,268,2268,8,0,0,7,0,1,0,0,0,599,0,1196,388,369,5,53,1,129,181,4510,100,1989,331,2090,37,3108,146,1997,965,0,267,15335
MAY14,3,6,5,0,0,1,0,1427,59,667,204,497,536,157,379,96,43,53,275,26,7,49,193,2343,3029,1933,1882,51,199,897,78,2563,803,8226,665,1419,2196,3946,1592,104,64,660,38,726,449,186,44,213,6,16740,6165,25,2654,178,473,2835,6,0,0,4,1,1,0,0,0,682,0,1214,424,420,12,57,3,163,185,4727,100,2018,331,2278,77,3448,144,2203,1095,6,388,17551
JUN14,3,5,3,0,0,2,0,1358,54,638,184,482,394,110,284,101,58,43,177,10,16,48,103,2038,2853,1817,1780,37,150,886,96,2733,763,7879,657,1282,2198,3742,1408,56,10,652,69,621,431,157,49,217,8,16163,5995,35,2671,167,290,2832,5,0,0,3,1,0,0,0,1,723,0,1167,376,407,11,62,2,141,191,4938,123,2196,352,2267,68,3323,148,2134,1039,2,369,17371
JUL14,3,5,2,0,1,2,0,1344,47,616,191,490,477,146,331,107,63,44,208,11,8,54,135,2144,2343,1421,1398,23,109,813,104,2472,710,7832,613,1368,2094,3757,3290,190,20,674,31,2375,389,162,29,191,7,17140,6173,56,2718,153,325,2921,3,0,0,2,0,0,0,0,1,716,0,1134,339,429,13,52,0,137,227,4710,88,2120,388,2114,27,3169,122,1944,1102,1,316,17016
AUG14,3,7,6,0,0,1,0,1425,66,641,188,530,495,157,338,103,53,50,255,43,8,28,176,2288,2474,1470,1433,37,115,889,132,2522,738,7798,587,1462,2169,3580,2309,101,22,664,42,1480,375,149,36,183,7,16348,6715,48,2977,181,379,3130,0,0,0,0,0,0,0,0,0,819,0,1241,341,451,11,67,0,159,214,5058,136,2150,353,2419,44,3408,135,2150,1122,1,361,18438
SEP14,1,7,5,0,0,2,0,1458,56,689,204,509,695,132,563,106,67,39,231,22,9,32,168,2498,2643,1639,1609,30,151,853,100,2750,689,8100,633,1581,2093,3793,1573,67,15,683,62,746,454,182,44,221,7,16309,7196,60,3032,217,423,3464,9,0,1,7,0,0,0,1,0,692,0,1320,422,542,7,75,3,218,239,5129,114,2288,431,2296,51,3544,181,2212,1149,2,375,19280
OCT14,5,7,3,0,1,3,0,1685,59,784,272,570,522,155,367,105,54,51,268,26,3,49,190,2592,2499,1577,1523,54,134,788,103,2819,669,8062,660,1403,2063,3936,2166,131,30,834,30,1141,484,198,60,221,5,16802,8225,56,3541,244,381,4003,5,0,0,1,0,3,0,1,0,679,0,1399,508,622,12,74,4,223,309,5725,90,2334,439,2862,65,3570,183,2209,1176,2,341,21139
NOV14,4,11,8,0,0,3,0,1633,66,795,243,529,591,164,427,104,64,40,257,34,5,44,174,2600,2605,1666,1612,54,134,805,117,2920,758,7870,711,1310,1987,3862,1940,97,32,817,259,735,452,166,50,225,11,16662,5679,60,2622,150,311,2536,4,0,0,4,0,0,0,0,0,595,0,1489,469,452,9,38,0,165,240,5094,125,1882,318,2769,27,2979,149,1847,981,2,333,17121
DEC14,13,5,3,1,0,1,0,1518,63,713,270,472,416,144,272,95,44,51,235,22,7,49,157,2282,2762,1741,1703,38,183,838,77,2826,762,7909,668,1528,1911,3802,1576,16,18,742,31,769,411,159,46,202,4,16323,6650,45,2956,155,409,3085,4,0,0,3,0,0,0,1,0,519,0,1570,487,480,9,56,0,182,233,4978,72,2106,305,2495,34,3299,150,2094,1051,4,270,18291
JAN15,5,6,3,2,0,1,0,1398,73,691,205,429,490,131,359,102,42,60,272,17,8,55,192,2273,2690,1659,1605,54,160,871,86,2735,748,7681,735,1394,1849,3703,1672,6,6,836,94,730,415,163,36,213,3,16027,6374,29,2700,155,499,2991,16,0,0,11,2,1,0,0,2,509,0,1482,475,508,14,57,0,190,247,5207,87,2317,311,2492,38,3366,182,2180,1001,3,382,18357
FEB15,4,5,3,0,1,1,0,1409,50,711,201,447,485,134,351,84,47,37,190,20,4,37,129,2177,2695,1618,1576,42,168,909,79,2378,874,7488,701,1362,1991,3434,1643,12,16,663,80,872,491,179,45,260,7,15648,6467,55,2612,145,613,3042,13,0,0,4,0,1,0,1,7,473,0,1348,413,522,13,66,0,176,267,4462,73,2000,329,2060,44,2852,136,1802,910,4,305,16899
MAR15,7,5,3,0,0,2,0,1614,69,747,253,545,546,154,392,115,49,66,264,23,5,61,175,2551,2800,1738,1691,47,171,891,88,2813,878,8651,698,1610,2188,4155,2419,230,27,966,75,1121,442,182,36,218,6,18091,6905,69,2978,172,494,3192,12,0,0,8,0,0,0,3,1,509,0,1480,488,562,14,52,1,219,276,5034,91,2217,324,2402,60,3210,170,2139,900,1,430,18690
APR15,7,9,6,0,1,2,0,1350,65,641,187,457,479,150,329,106,49,57,212,24,6,45,137,2163,2759,1682,1642,40,188,889,82,2506,708,7917,676,1429,2028,3784,1589,25,16,699,56,793,410,177,39,189,5,15971,6186,25,2666,135,393,2967,16,0,0,7,1,0,0,0,8,517,0,1275,435,437,6,58,3,141,229,5121,80,2450,337,2254,69,2952,147,1887,916,2,282,17290
MAY15,1,4,2,0,0,2,0,1418,57,659,218,484,501,119,382,148,86,62,197,15,4,33,145,2269,2589,1580,1542,38,125,884,82,2540,713,8506,679,1572,2286,3969,1741,8,17,952,57,707,394,184,31,175,4,16565,7305,93,3185,126,571,3330,1,0,0,0,0,0,0,0,1,499,0,1357,470,514,4,47,1,173,289,5170,82,2362,380,2346,39,3609,141,2448,1017,3,313,19277
JUN15,1,7,4,0,0,2,1,1464,114,667,190,493,453,127,326,130,73,57,241,29,9,37,166,2296,2688,1573,1522,51,149,966,68,2513,770,8490,600,1691,2177,4022,1535,25,8,723,42,737,393,187,30,171,5,16457,6968,136,2978,172,497,3185,37,0,0,0,29,2,0,0,6,451,0,1297,357,556,12,65,2,188,289,4626,77,2156,351,2042,57,3357,120,2169,1068,0,481,18187
JUL15,4,6,3,0,1,2,0,1272,53,584,198,437,447,105,342,92,54,38,240,19,4,39,178,2061,2495,1473,1438,35,124,898,84,2600,720,8192,619,1532,2256,3785,2067,16,18,742,58,1233,457,169,71,210,7,16615,7465,113,3350,163,400,3439,3,0,0,2,0,0,0,1,0,554,0,1395,459,582,14,67,0,196,305,4726,66,2228,364,2068,59,3567,134,2274,1157,2,422,19232
AUG15,4,8,5,0,1,2,0,1505,58,734,212,501,553,154,399,122,69,53,241,21,6,45,169,2433,2488,1463,1420,43,130,895,88,2595,725,7726,639,1510,1934,3643,1410,23,17,701,52,617,415,179,30,202,4,15447,7920,55,3505,163,426,3771,4,0,0,0,0,2,0,0,2,589,0,1576,405,588,25,59,1,195,308,5168,89,2245,428,2406,60,4274,204,2860,1210,0,543,21127
SEP15,7,5,5,0,0,0,0,1502,57,687,213,545,417,132,285,128,69,59,220,24,5,53,138,2279,2611,1554,1513,41,142,915,94,2612,779,7833,658,1517,1970,3688,1555,24,7,755,71,698,385,166,28,190,1,15869,7505,82,3193,145,501,3584,1,0,0,0,0,0,0,0,1,481,0,1794,407,474,10,59,0,173,232,4829,55,2245,386,2143,37,3625,196,2396,1032,1,436,19589
OCT15,4,7,6,0,0,1,0,1653,71,770,245,567,613,151,462,123,65,58,256,25,7,52,172,2656,2938,1785,1723,62,152,1001,99,2827,826,8376,692,1577,2102,4005,2124,29,35,906,73,1081,477,189,44,241,3,17667,7585,62,3302,187,602,3432,1,0,0,0,0,0,0,0,1,494,0,2103,494,567,14,76,1,198,278,5214,81,2272,487,2374,36,3727,137,2481,1106,3,526,20747
NOV15,6,10,4,0,1,5,0,1776,73,836,279,588,574,175,399,113,58,55,267,28,8,47,184,2746,2979,1762,1695,67,168,1049,92,3137,822,8892,784,1573,2115,4420,2033,36,10,1326,40,621,479,203,46,223,7,18434,7397,44,3062,211,666,3414,5,0,0,1,3,0,0,1,0,487,0,2051,486,549,18,80,3,150,298,5260,95,2303,426,2436,60,3869,171,2622,1075,1,489,20653
DEC15,6,10,5,0,0,4,1,1721,86,825,261,549,509,116,393,91,50,41,248,31,4,43,170,2585,2701,1804,1748,56,98,799,100,2805,803,8381,729,1784,1846,4022,2103,29,17,1092,79,886,518,248,32,234,4,17411,7653,61,3316,206,579,3491,21,10,2,4,2,0,0,0,3,455,0,2137,547,559,23,55,1,200,280,5354,84,2460,408,2402,39,4068,164,2778,1123,3,455,21288
JAN16,3,12,8,0,0,2,2,1783,187,791,268,537,502,160,342,103,52,51,227,22,2,41,162,2630,2620,1647,1578,69,109,864,115,2986,821,8358,827,1637,1837,4057,2531,24,17,1072,63,1355,397,175,29,189,4,17828,7238,33,3158,161,478,3408,1,1,0,0,0,0,0,0,0,451,0,2133,528,561,12,72,2,203,272,5569,101,2579,444,2445,29,4241,157,2963,1118,3,349,21100
FEB16,2,6,2,1,1,2,0,1944,58,910,283,693,547,130,417,111,52,59,297,18,1,50,228,2907,2630,1573,1514,59,120,937,99,2875,854,8527,726,1696,2080,4025,1804,19,18,952,149,666,440,198,41,192,9,17229,6722,63,3000,190,245,3224,6,2,0,0,2,0,0,1,1,410,0,2069,479,585,8,65,3,179,330,4922,80,2207,506,2129,45,3585,116,2512,953,4,489,19312
MAR16,6,5,4,0,0,1,0,1867,59,915,260,633,532,153,379,127,57,70,343,37,7,90,209,2880,2855,1769,1724,45,134,952,79,2848,914,9319,766,1897,2336,4320,1879,14,47,831,49,938,497,204,36,246,11,18391,7215,42,3056,181,409,3527,7,0,0,4,1,1,0,0,1,416,0,2203,528,624,14,65,2,200,343,5308,89,2302,532,2385,44,3832,161,2592,1077,2,546,20723
APR16,4,3,1,0,0,2,0,1598,61,754,202,581,729,171,558,114,56,58,255,27,5,65,158,2703,2673,1661,1615,46,116,896,101,2787,857,8373,626,1601,2108,4038,2208,31,12,951,61,1153,471,207,42,219,3,17470,7358,58,3167,135,543,3455,0,0,0,0,0,0,0,0,0,478,0,1953,481,536,6,63,0,174,293,5202,86,2297,574,2245,37,3412,172,2239,998,3,409,19866
MAY16,0,9,6,0,1,2,0,1708,72,791,271,574,597,155,442,116,59,57,312,20,10,40,242,2742,2713,1674,1636,38,119,920,97,2785,905,9126,713,1780,2217,4416,1737,20,8,921,216,572,485,195,44,242,4,17848,7964,70,3342,149,735,3668,7,0,0,5,0,0,0,0,2,459,0,2012,580,593,10,67,0,179,337,5141,69,2374,517,2181,67,3376,161,2220,989,6,427,20626
JUN16,4,2,0,0,0,2,0,1627,68,743,237,579,574,130,444,127,61,66,315,24,5,48,238,2649,2798,1726,1688,38,129,943,92,2645,911,9170,681,1878,2356,4255,2005,41,5,889,94,976,515,211,37,264,3,18136,6653,34,2983,138,349,3149,5,0,0,3,0,0,0,1,1,368,0,1758,537,500,11,62,1,135,291,5089,68,2331,495,2195,31,3093,159,1999,932,3,537,18571
JUL16,1,15,9,0,1,3,2,1601,53,805,235,508,423,137,286,121,78,43,305,26,4,65,210,2466,2835,1732,1683,49,133,970,99,2797,934,9016,725,1777,2436,4078,2313,59,7,1145,83,1019,535,200,55,274,6,18529,8151,83,3545,125,560,3838,7,0,0,4,0,0,0,2,1,514,1,1775,446,629,16,67,1,209,336,5258,84,2408,598,2168,23,4020,198,2696,1125,1,348,21172
AUG16,7,11,9,0,0,2,0,1786,80,831,283,592,486,155,331,164,91,73,363,26,6,58,273,2817,2840,1753,1679,74,133,954,85,3108,976,9321,740,1941,2412,4228,2996,33,29,1680,86,1168,604,287,36,277,4,19930,9202,64,3778,201,1059,4100,4,0,0,3,0,0,0,0,1,393,0,2010,504,620,6,85,2,189,338,4987,73,2341,588,1985,19,4085,191,2678,1214,2,551,22375
SEP16,1,5,3,0,0,1,1,1757,54,857,269,577,550,156,394,157,86,71,343,32,14,53,244,2813,3068,1841,1780,61,142,1085,77,3104,1001,9202,659,1790,2341,4412,2190,24,23,1107,69,967,484,206,36,240,2,19126,8165,90,3218,125,1229,3503,10,0,0,6,0,0,0,3,1,386,0,2100,527,586,10,67,2,183,324,5069,66,2387,556,2060,25,3325,155,2196,973,1,455,20648
OCT16,5,22,19,0,2,0,1,1838,90,868,252,628,490,142,348,161,72,89,367,25,9,70,263,2883,3140,1921,1863,58,149,1070,113,3187,1007,9385,724,1758,2356,4547,1926,35,11,955,109,816,477,231,35,205,6,19235,7331,55,3335,167,387,3387,6,2,0,3,0,0,0,0,1,433,0,2329,523,664,19,75,1,215,354,5277,75,2352,546,2304,18,3674,203,2431,1039,1,373,20628
NOV16,5,9,6,0,1,2,0,2004,87,993,297,627,518,163,355,163,92,71,325,25,5,60,235,3024,3132,2014,1948,66,160,958,115,3123,1008,9319,729,1774,2148,4668,3774,44,12,1003,106,2609,442,184,45,207,6,20913,7531,39,3332,181,420,3559,5,0,0,2,0,1,0,1,1,380,1,2354,523,578,18,68,1,171,320,5575,80,2632,583,2280,5,3634,210,2391,1029,4,337,20923
DEC16,3,8,6,0,0,2,0,1919,75,898,327,619,500,162,338,144,77,67,330,31,7,34,258,2904,3050,2071,2008,63,123,856,106,3139,1038,9014,776,1777,2048,4413,2027,26,11,1015,61,914,437,188,32,212,5,18811,6618,46,2681,124,988,2779,4,0,0,1,1,0,0,2,0,541,0,2329,488,501,9,64,4,150,274,5116,68,2326,425,2297,28,3682,187,2508,984,3,565,19872
JAN17,2,8,5,0,1,2,0,1948,72,942,278,656,518,150,368,142,46,96,334,41,6,37,250,2952,3339,2216,2163,53,134,989,119,3308,1107,9623,867,1707,2245,4804,2063,31,10,1061,63,898,430,185,31,206,8,19989,6231,30,2771,139,459,2832,1,0,0,1,0,0,0,0,0,360,0,2273,512,578,5,84,1,175,313,5185,65,2322,502,2296,10,3504,181,2379,941,3,246,18900
FEB17,3,8,3,0,1,3,1,2043,75,1007,294,667,498,169,329,161,71,90,429,35,5,82,307,3142,3064,2083,2011,72,142,839,95,2868,1005,8601,656,1647,1960,4338,1982,40,17,1108,100,717,391,148,28,212,3,18006,5767,20,2518,149,283,2797,4,0,0,2,0,0,0,2,0,343,0,2217,461,513,15,55,2,158,283,4662,80,2101,458,2023,45,3103,183,2089,830,1,282,17397
MAR17,4,7,4,0,0,3,0,2012,81,1011,269,651,562,197,365,128,72,56,422,30,9,53,330,3135,3173,2056,1997,59,186,931,102,3169,969,9113,687,1744,2128,4554,2621,59,9,1014,134,1405,494,212,27,248,7,19641,6555,79,2770,172,472,3062,14,0,6,1,2,0,0,1,4,358,0,2306,546,539,17,70,2,147,303,4936,65,2135,478,2258,20,3392,167,2283,941,1,337,19003
APR17,3,6,4,0,1,1,0,1766,72,863,271,560,473,148,325,128,61,67,378,30,9,48,291,2754,2983,1883,1836,47,183,917,103,3053,962,8956,644,1602,2507,4203,1787,28,71,1056,167,465,384,148,46,187,3,18228,5210,35,2325,79,394,2377,14,0,0,11,0,0,0,1,2,335,0,2049,495,450,8,60,6,128,248,4444,67,1926,356,2095,4,3090,134,2220,736,0,221,16312
MAY17,5,6,5,0,0,1,0,1869,75,890,249,655,451,130,321,134,57,77,352,23,3,45,281,2817,3281,2047,1988,59,186,1048,103,2987,987,9632,725,1863,2394,4650,2089,24,16,1076,113,860,464,195,43,219,7,19543,7129,45,3128,124,431,3401,14,0,0,3,0,0,0,8,3,375,1,2082,518,562,19,68,2,164,309,4637,49,2067,529,1992,11,3440,152,2398,888,2,308,19077
JUN17,1,2,2,0,0,0,0,1713,70,839,243,561,579,187,392,147,79,68,327,19,9,45,254,2769,2884,1848,1800,48,142,894,85,2816,956,9492,687,1932,2354,4519,2637,35,13,1425,90,1074,500,216,50,230,4,19370,6922,39,2995,145,441,3302,14,0,0,7,0,0,0,2,5,378,0,1962,432,532,15,62,3,162,290,4446,56,2013,405,1972,18,3294,141,2335,816,2,367,18365
JUL17,1,3,2,0,0,1,0,1797,57,931,216,593,531,149,382,163,64,99,355,14,10,59,272,2850,2822,1728,1665,63,138,956,113,2819,963,9012,644,1700,2446,4222,2857,43,4,1076,70,1664,473,202,49,219,3,19059,6906,33,3097,144,359,3273,16,0,0,8,0,0,0,5,3,509,0,2084,426,521,13,56,3,155,294,4557,70,2117,410,1960,1,3604,199,2563,839,3,271,18895
AUG17,4,4,2,0,0,2,0,1878,66,916,233,663,565,191,374,142,71,71,404,29,4,52,319,2997,2850,1727,1675,52,150,973,113,2949,957,9252,617,1686,2348,4601,1658,35,11,782,79,751,409,184,25,195,5,18188,7045,47,3298,129,289,3282,7,0,0,5,0,0,0,2,0,521,0,2063,468,515,9,50,4,143,309,4610,69,2093,527,1921,18,3579,186,2520,872,1,288,19114
SEP17,3,6,5,1,0,0,0,1856,73,905,253,625,668,218,450,130,63,67,369,20,3,39,307,3032,2972,1870,1816,54,152,950,134,3010,992,9672,686,1736,2454,4796,1792,46,6,780,280,680,430,187,28,206,9,19002,8191,39,2711,115,2512,2814,11,0,0,2,0,0,0,1,8,357,0,2149,486,493,8,47,3,161,274,4455,57,2033,471,1894,9,3085,160,2198,725,2,280,19516
OCT17,3,9,7,0,0,2,0,2112,85,997,286,744,514,162,352,177,92,85,358,26,10,64,258,3173,3349,2025,1978,47,186,1138,109,3151,1118,10425,748,1843,2699,5135,2039,52,7,992,115,873,467,182,40,241,4,20658,6984,88,2867,140,831,3058,1,0,0,0,0,0,0,1,0,433,0,2235,508,526,11,63,1,169,282,4591,62,2018,479,2032,11,3348,152,2321,874,1,235,18872
NOV17,6,6,4,0,0,2,0,2153,89,1023,267,774,567,193,374,179,92,87,385,27,12,57,289,3296,3081,1963,1916,47,144,974,99,3174,1022,10471,746,1957,2498,5270,2246,55,9,1278,127,777,516,224,23,260,9,20609,6505,44,2889,160,320,3092,10,0,0,2,0,0,0,0,8,417,0,2158,531,510,8,44,3,159,296,4516,89,1941,431,2055,6,3356,168,2358,826,4,283,18292
DEC17,4,1,1,0,0,0,0,2057,86,970,268,733,429,160,269,191,97,94,343,22,6,36,279,3025,3543,2327,2256,71,169,1047,93,3250,1179,10379,766,1913,2529,5171,1667,55,6,804,100,702,425,212,36,172,5,20536,5954,34,2426,130,824,2540,5,2,0,3,0,0,0,0,0,485,0,2331,525,525,8,40,0,160,317,4823,97,2127,396,2203,4,3420,174,2531,715,0,199,18271
